appId,xaiType,domainId,domainName,w0,w1,w2,w3,w4,w5,w6
NHANES,isolated,0,Feature set 1,-117.1424542223467,12.430123802952318,0.3016368274073941,8.089326316100237,0.9900220094261049,16.995474283230134,
NHANES,isolated,1,Feature set 2,-62.20339791341408,13.219280249771906,0.5021719000760504,16.99443509730545,0.4162999537801817,-0.4086986472513332,
NHANES,transferable,0,Feature set 1,-107.87166214772932,11.88666527214169,0.2741840949869645,8.185246610121474,0.9244065308193832,16.473174141148945,
NHANES,transferable,1,Feature set 2,-56.00161790200911,11.696923490278712,0.3232430986502147,15.818197118817046,0.3142535198149823,-0.2656203011353403,
AirQuality,transferable,0,Feature set 1,1840.4535389787773,0.2550560120164544,0.8309737348436957,0.0378613778767229,-2.820960604679547,-1.794696041383237,
AirQuality,transferable,1,Feature set 2,11.003809255164924,0.2550562017229013,0.7927106759487346,0.039076250126935,-2.7333442136191204,1.2578759111101108,
AirQuality,isolated,0,Feature set 1,1833.137606542572,0.2547689797693306,0.8342753112250946,0.0377749116033453,-2.883686348661379,-1.7878992154824076,
AirQuality,isolated,1,Feature set 2,12.281663810975148,0.2758641151389964,0.8110997328941806,0.0383133542691421,-4.16845971402782,1.2636113102969515,
